ts,bull_score,bear_score,label,score_display
2019-09-30,0,0,NEUTRE,0
2019-10-07,0,0,NEUTRE,0
2019-10-14,0,0,NEUTRE,0
2019-10-21,0,0,NEUTRE,0
2019-10-28,0,0,NEUTRE,0
2019-11-04,0,0,NEUTRE,0
2019-11-11,0,0,NEUTRE,0
2019-11-18,0,0,NEUTRE,0
2019-11-25,0,0,NEUTRE,0
2019-12-02,0,0,NEUTRE,0
2019-12-09,0,0,NEUTRE,0
2019-12-16,0,0,NEUTRE,0
2019-12-23,0,0,NEUTRE,0
2019-12-30,0,0,NEUTRE,0
2020-01-06,0,0,NEUTRE,0
2020-01-13,0,0,NEUTRE,0
2020-01-20,0,0,NEUTRE,0
2020-01-27,0,0,NEUTRE,0
2020-02-03,0,0,NEUTRE,0
2020-02-10,0,0,NEUTRE,0
2020-02-17,0,0,NEUTRE,0
2020-02-24,0,0,NEUTRE,0
2020-03-02,0,0,NEUTRE,0
2020-03-09,0,0,NEUTRE,0
2020-03-16,0,0,NEUTRE,0
2020-03-23,0,0,NEUTRE,0
2020-03-30,0,0,NEUTRE,0
2020-04-06,0,0,NEUTRE,0
2020-04-13,0,0,NEUTRE,0
2020-04-20,0,0,NEUTRE,0
2020-04-27,0,0,NEUTRE,0
2020-05-04,0,0,NEUTRE,0
2020-05-11,0,0,NEUTRE,0
2020-05-18,0,0,NEUTRE,0
2020-05-25,0,0,NEUTRE,0
2020-06-01,0,0,NEUTRE,0
2020-06-08,0,0,NEUTRE,0
2020-06-15,0,0,NEUTRE,0
2020-06-22,0,0,NEUTRE,0
2020-06-29,0,0,NEUTRE,0
2020-07-06,0,0,NEUTRE,0
2020-07-13,0,0,NEUTRE,0
2020-07-20,0,0,NEUTRE,0
2020-07-27,0,0,NEUTRE,0
2020-08-03,0,0,NEUTRE,0
2020-08-10,0,0,NEUTRE,0
2020-08-17,0,0,NEUTRE,0
2020-08-24,0,0,NEUTRE,0
2020-08-31,0,0,NEUTRE,0
2020-09-07,0,0,NEUTRE,0
2020-09-14,0,0,NEUTRE,0
2020-09-21,0,0,NEUTRE,0
2020-09-28,0,0,NEUTRE,0
2020-10-05,0,0,NEUTRE,0
2020-10-12,0,0,NEUTRE,0
2020-10-19,0,0,NEUTRE,0
2020-10-26,0,0,NEUTRE,0
